wine_code,wine_name,img_url,badge,sugar_content,acidity,body,tannin,producer,nation,production_area,main_varieties
170389,"테누사 일 팔라지오, 메시지 인 어 보틀 화이트",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170389.png,화이트,1,3,2,1,테누타 일 팔라지오 Tenuta Il Palagio,이탈리아(Italy),토스카나(Toscana),베르멘티노 (Vermentino) 100%
170388,"테누타 일 팔라지오, 메시지 인 어 보틀 레드",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170388.png,레드,1,3,4,3,테누타 일 팔라지오 Tenuta Il Palagio,이탈리아(Italy),토스카나(Toscana),산지오베제 (Sangiovese) 100%
170387,"투스 앤 네일, 프레그런트 스네어",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170387.png,화이트,1,3,2,1,투스 앤 네일 Tooth and Nail,미국(U.S.A),캘리포니아(California),"샤르도네 (Chardonnay) 77%, 알바리뇨 (Albarino(Alvarinho)) 15%, 비오니에 (Viognier) 8%"
170386,"투스 앤 네일, 더 스탠드",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170386.png,레드,1,3,3,3,투스 앤 네일 Tooth and Nail,미국(U.S.A),캘리포니아(California),"쁘띠 시라 (Petite Sirah) 85%, 시라/쉬라즈 (Syrah/Shiraz) 13%, 비오니에 (Viognier) 2%"
170385,"투스 앤 네일, 더 포제서",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170385.png,레드,1,4,4,4,투스 앤 네일 Tooth and Nail,미국(U.S.A),캘리포니아(California),"카베르네 소비뇽 (Cabernet Sauvignon) 81%, 시라/쉬라즈 (Syrah/Shiraz) 11%, 쁘띠 시라 (Petite Sirah) 5%, 메를로 (Merlot) 3%"
170384,"노비노포비아, 카베르네 소비뇽",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170384.png,레드,1,4,4,4,노비노포비아 Novinophobia Wines,미국(U.S.A),캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%
170383,"노비노포비아, 샤도네이",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170383.png,화이트,1,3,2,1,노비노포비아 Novinophobia Wines,미국(U.S.A),캘리포니아(California),샤르도네 (Chardonnay)
170382,"노비노포비아, 레드 블렌드",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170382.png,레드,1,4,4,4,노비노포비아 Novinophobia Wines,미국(U.S.A),캘리포니아(California),"쁘띠 베르도 (Petit Verdot) 47%, 쁘띠 시라 (Petite Sirah) 26%, 시라/쉬라즈 (Syrah/Shiraz) 14%, 진판델 (Zinfandel) 10%, 메를로 (Merlot) 3%"
170381,"타이투스 빈야드, 카베르네 소비뇽",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170381.png,레드,1,4,4,4,타이투스 빈야드 Titus Vineyards,미국(U.S.A),캘리포니아(California),"카베르네 소비뇽 (Cabernet Sauvignon) 81%, 쁘띠 베르도 (Petit Verdot) 7.5%, 메를로 (Merlot) 7%, 말벡 (Malbec) 4.5%"
170380,"콜레프리지오, 비그나쿼드라 페코리노",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170380.png,화이트,1,3,1,1,콜레프리지오 Collefrisio,이탈리아(Italy),아브루쪼(Abruzzo),페코리노 (Pecorino)
170379,"콜레프리지오, 테누타 줄리아노",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170379.png,레드,1,3,4,3,콜레프리지오 Collefrisio,이탈리아(Italy),아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) 100%
170378,"콜레프리지오, 아파시멘토",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170378.png,레드,1,3,4,3,콜레프리지오 Collefrisio,이탈리아(Italy),아브루쪼(Abruzzo),"몬테풀치아노 (Montepulciano) 60%, 산지오베제 (Sangiovese) 20%, 메를로 (Merlot) 20%"
170377,"콜레프리지오, 칸프란토",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170377.png,레드,1,3,4,3,콜레프리지오 Collefrisio,이탈리아(Italy),아브루쪼(Abruzzo),"몬테풀치아노 (Montepulciano) 50%, 프리미티보 (Primitivo) 50%"
170376,"콜레프리지오, 세미스",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170376.png,레드,1,3,3,3,콜레프리지오 Collefrisio,이탈리아(Italy),아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) 100%
170375,"보데가스 넬레만, 저스트 화이트",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170375.png,화이트,1,3,1,1,보데가스 넬레만 Bodegas Neleman,스페인(Spain),발렌시아(Valencia),"베르딜 (Verdil) 70%, 소비뇽 블랑 (Sauvignon Blanc) 10%, 비오니에 (Viognier) 10%, 샤르도네 (Chardonnay) 10%"
170374,"보데가스 넬레만, 저스트 레드",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170374.png,레드,1,3,3,3,보데가스 넬레만 Bodegas Neleman,스페인(Spain),발렌시아(Valencia),마르셀란 (Marselan)
170373,"칠라노, 그랑 레세르바 메를로",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170373.png,레드,1,3,4,4,칠라노 Chilano,칠레(Chile),센트럴밸리(CentralValley),메를로 (Merlot)
